ID,FIRSTNAME,LASTNAME,GENDER,EMAIL,PHONE,PASSWORD,COUNTRY.CODE
U02252,Arianna,Spencer,Female,a.spencer@randatmail.com,368-9679-76,,DE
U03255,Aida,Davis,Female,a.davis@randatmail.com,479-7502-06,,DE
U85542,Kellan,Cunningham,Male,k.cunningham@randatmail.com,649-4745-01,,DE
U99652,Amy,Hall,Female,a.hall@randatmail.com,256-8561-05,,IN
U11125,Vanessa,Stewart,Female,v.stewart@randatmail.com,056-8326-83,,IN
U25252,Madaline,Crawford,Female,m.crawford@randatmail.com,068-5984-33,,IN
U62523,Arnold,Smith,Male,a.smith@randatmail.com,664-6304-14,,US
U89253,Kirsten,Harper,Female,k.harper@randatmail.com,069-6764-91,,US
U32522,Alan,Edwards,Male,a.edwards@randatmail.com,839-8915-23,,US
U42558,Alexander,Baker,Male,a.baker@randatmail.com,848-0478-92,,US
